,Cities,Country,Date Time,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
22,Dutse,NG,1590014961.0,81.39,11.76,9.34,61.0,82.0,21.68
23,Souillac,MU,1590014964.0,71.6,-20.52,57.52,78.0,75.0,14.99
24,Albany,US,1590014810.0,75.0,42.6,-73.97,21.0,0.0,3.96
25,Dwārka,IN,1590014970.0,83.19,22.24,68.97,76.0,0.0,11.92
26,Arraial do Cabo,BR,1590014778.0,64.4,-22.97,-42.03,100.0,20.0,2.24
27,Jega,NG,1590014977.0,93.11,12.22,4.38,32.0,48.0,14.0
28,Hilo,US,1590014980.0,80.6,19.73,-155.09,74.0,75.0,6.93
29,Mokhsogollokh,RU,1590014983.0,56.32,61.47,128.92,47.0,58.0,1.95
30,Bredasdorp,ZA,1590014986.0,51.8,-34.53,20.04,76.0,4.0,3.36
31,Labuhan,ID,1590014989.0,79.7,-6.88,112.21,87.0,98.0,6.02
32,Palu,ID,1590014992.0,78.76,-0.89,119.87,78.0,99.0,2.62
33,Torbay,CA,1590014995.0,42.01,47.67,-52.73,64.0,20.0,8.05
34,Lebu,CL,1590014884.0,51.13,-37.62,-73.65,75.0,0.0,2.28
35,Sambava,MG,1590015001.0,71.58,-14.27,50.17,81.0,56.0,13.51
36,Kapaa,US,1590015005.0,78.8,22.08,-159.32,74.0,90.0,17.22
37,Ubatuba,BR,1590015008.0,68.0,-23.43,-45.07,72.0,20.0,4.7
38,Dubbo,AU,1590014972.0,55.4,-32.25,148.62,100.0,90.0,10.29
39,Avarua,CK,1590015014.0,80.6,-21.21,-159.78,65.0,40.0,10.29
40,Havelock,US,1590014784.0,72.0,34.88,-76.9,83.0,90.0,18.34
41,Benghazi,LY,1590015020.0,68.88,32.12,20.07,73.0,9.0,10.27
42,Pacific Grove,US,1590015023.0,62.6,36.62,-121.92,63.0,75.0,12.75
43,Puerto Ayora,EC,1590015026.0,82.4,-0.74,-90.35,65.0,20.0,16.11
44,Sibolga,ID,1590015029.0,77.54,1.74,98.78,76.0,100.0,4.27
45,Bandarbeyla,SO,1590014750.0,83.86,9.49,50.81,70.0,14.0,23.51
46,Vila Franca do Campo,PT,1590015036.0,64.4,37.72,-25.43,93.0,75.0,13.87
47,Hermanus,ZA,1590015039.0,69.35,-34.42,19.23,36.0,17.0,6.46
48,Dharapuram,IN,1590015042.0,78.69,10.73,77.52,71.0,28.0,16.26
49,Magadan,RU,1590015045.0,44.91,59.57,150.8,61.0,95.0,3.8
50,Te Anau,NZ,1590015048.0,52.75,-45.42,167.72,68.0,100.0,12.12
51,Mackenzie,CA,1590015051.0,55.4,55.3,-123.17,66.0,75.0,10.29
52,Erzin,TR,1590015054.0,82.4,36.96,36.2,30.0,0.0,4.7
53,Wewak,PG,1590015058.0,82.62,-3.55,143.63,78.0,26.0,4.16
54,Butaritari,KI,1590015061.0,84.04,3.07,172.79,79.0,4.0,18.95
55,Tasiilaq,GL,1590015064.0,32.0,65.61,-37.64,91.0,98.0,5.82
56,Cape Town,ZA,1590014925.0,73.99,-33.93,18.42,32.0,0.0,2.24
57,Yulara,AU,1590015070.0,39.2,-25.24,130.99,59.0,20.0,6.93
58,Rabo de Peixe,PT,1590014850.0,64.4,37.8,-25.58,93.0,75.0,13.87
59,Howard,US,1590014855.0,60.01,39.25,-76.93,62.0,99.0,3.0
60,Brigantine,US,1590015042.0,55.4,39.41,-74.36,62.0,1.0,17.22
61,Nikolskoye,RU,1590015082.0,37.4,59.7,30.79,86.0,90.0,15.66
62,Saint Paul Harbor,US,1590014812.0,53.6,57.79,-152.41,71.0,75.0,17.22
63,Thompson,CA,1590015055.0,51.8,55.74,-97.86,43.0,90.0,6.93
64,Mar del Plata,AR,1590014827.0,55.99,-38.0,-57.56,100.0,90.0,12.75
65,Okhotsk,RU,1590015095.0,48.06,59.38,143.3,56.0,0.0,5.03
66,Salalah,OM,1590015098.0,84.2,17.02,54.09,79.0,20.0,1.12
67,Vikulovo,RU,1590015101.0,54.34,56.82,70.61,67.0,24.0,13.69
68,Yellowknife,CA,1590014808.0,46.4,62.46,-114.35,31.0,20.0,16.11
69,Igra,RU,1590015107.0,43.61,57.56,53.05,93.0,100.0,4.32
70,Xichang,CN,1590015111.0,69.13,27.9,102.26,68.0,100.0,1.12
71,Port Elizabeth,ZA,1590014832.0,53.6,-33.92,25.57,81.0,62.0,3.36
72,Evensk,RU,1590015117.0,42.67,61.95,159.23,60.0,98.0,5.95
73,Lakes Entrance,AU,1590015120.0,50.0,-37.88,147.98,83.0,99.0,6.96
74,Geraldton,AU,1590015123.0,53.6,-28.77,114.6,62.0,0.0,17.22
75,Severo-Kuril'sk,RU,1590015126.0,38.52,50.68,156.12,83.0,71.0,13.24
76,Jatai,BR,1590015129.0,68.2,-17.88,-51.71,88.0,23.0,4.38
77,Hithadhoo,MV,1590015132.0,83.98,-0.6,73.08,76.0,23.0,10.8
78,Makokou,GA,1590015135.0,70.63,0.57,12.86,96.0,96.0,3.56
79,Castro,BR,1590015139.0,57.67,-24.79,-50.01,88.0,4.0,3.91
80,Tuktoyaktuk,CA,1590015142.0,33.8,69.45,-133.04,64.0,20.0,8.05
81,Sorong,ID,1590015145.0,79.86,-0.88,131.25,85.0,100.0,4.03
82,Saldanha,ZA,1590015148.0,68.0,-33.01,17.94,30.0,1.0,9.17
83,Saint-Philippe,RE,1590015151.0,71.6,-21.36,55.77,68.0,75.0,13.87
84,Alekseyevsk,RU,1590015154.0,52.66,57.84,108.35,65.0,9.0,5.28
85,Betong,TH,1590015157.0,73.2,5.77,101.07,93.0,100.0,1.05
86,Mahébourg,MU,1590015160.0,71.6,-20.41,57.7,78.0,75.0,14.99
87,Gwadar,PK,1590015163.0,85.03,25.12,62.33,59.0,47.0,1.99
88,Khatanga,RU,1590015166.0,47.91,71.97,102.5,80.0,43.0,7.99
89,Isangel,VU,1590015170.0,71.6,-19.55,169.27,83.0,75.0,9.17
90,Abu Dhabi,AE,1590015154.0,89.6,24.47,54.37,25.0,90.0,4.7
91,Mount Isa,AU,1590015176.0,62.6,-20.73,139.5,72.0,96.0,13.87
92,Ostrovnoy,RU,1590015179.0,34.36,68.05,39.51,89.0,100.0,24.56
93,Neiafu,TO,1590015182.0,78.8,-18.65,-173.98,83.0,75.0,2.24
94,Chubbuck,US,1590015185.0,48.0,42.92,-112.47,87.0,90.0,10.29
95,Port Hardy,CA,1590015188.0,51.8,50.7,-127.42,62.0,75.0,12.75
96,Bathsheba,BB,1590015191.0,80.6,13.22,-59.52,83.0,75.0,8.05
97,Kihurio,TZ,1590015195.0,68.83,-4.47,38.07,83.0,85.0,5.14
98,Upernavik,GL,1590015198.0,30.67,72.79,-56.15,97.0,12.0,9.28
99,Raja,SS,1590015201.0,70.61,8.46,25.68,89.0,100.0,6.98
100,Vaini,TO,1590015126.0,77.0,-21.2,-175.2,73.0,75.0,8.05
101,Phalombe,MW,1590015207.0,57.15,-15.81,35.65,92.0,10.0,4.72
102,Anadyr,RU,1590015210.0,33.8,64.75,177.48,64.0,40.0,6.71
103,Sibu,MY,1590015213.0,78.8,2.3,111.82,94.0,75.0,2.24
104,Atuona,PF,1590015216.0,80.94,-9.8,-139.03,76.0,4.0,16.69
105,Crixás,BR,1590015219.0,72.77,-14.55,-49.97,82.0,27.0,3.13
106,Tuatapere,NZ,1590015223.0,53.33,-46.13,167.68,68.0,100.0,8.75
107,Biak,ID,1590015226.0,80.04,-0.91,122.88,79.0,78.0,3.94
108,Berëzovka,BY,1590015229.0,36.91,53.72,25.5,89.0,0.0,6.38
109,Pangody,RU,1590015232.0,57.06,65.85,74.49,70.0,92.0,10.45
110,Hargeisa,SO,1590015235.0,72.32,9.56,44.06,68.0,11.0,19.89
111,Longyan,CN,1590015238.0,71.1,25.11,117.02,89.0,100.0,1.3
112,Berlevåg,NO,1590015241.0,35.87,70.86,29.09,83.0,82.0,9.57
113,Hasaki,JP,1590015244.0,54.0,35.73,140.83,93.0,75.0,8.05
114,Longyearbyen,SJ,1590015248.0,35.6,78.22,15.64,64.0,75.0,2.24
115,Auki,SB,1590015251.0,85.03,-8.77,160.7,71.0,7.0,5.12
116,Vestmannaeyjar,IS,1590015254.0,47.01,63.44,-20.27,83.0,92.0,21.32
117,San Jose,US,1590015144.0,75.0,37.34,-121.89,40.0,20.0,10.29
118,Chui,UY,1590015253.0,67.6,-33.7,-53.46,75.0,68.0,6.49
119,Burē,ET,1590015263.0,61.97,10.7,37.07,82.0,78.0,2.62
120,Progreso,MX,1590015237.0,95.0,21.28,-89.67,44.0,40.0,12.75
121,Vila Velha,BR,1590015269.0,75.2,-20.33,-40.29,73.0,96.0,4.7
122,Novyye Gorki,RU,1590015272.0,36.57,56.73,41.06,95.0,1.0,3.67
123,Lima,PE,1590014988.0,64.4,-12.04,-77.03,77.0,75.0,10.29
124,Provideniya,RU,1590015279.0,35.6,64.38,-173.3,74.0,0.0,13.42
125,Carnarvon,AU,1590015282.0,51.8,-24.87,113.63,34.0,0.0,10.29
126,Hobart,AU,1590015091.0,50.0,-42.88,147.33,61.0,20.0,8.05
127,Bowen,AU,1590015254.0,69.01,-20.02,148.23,94.0,90.0,6.93
128,Kotelnikowo,RU,1590015291.0,57.52,47.63,43.15,93.0,100.0,10.04
129,Dikson,RU,1590015294.0,38.88,73.51,80.55,100.0,97.0,7.61
130,Vanimo,PG,1590015297.0,82.74,-2.67,141.3,75.0,80.0,4.41
131,Tamandaré,BR,1590015184.0,78.66,-8.76,-35.1,86.0,34.0,8.05
132,Gilgit,PK,1590015091.0,64.33,35.92,74.31,29.0,18.0,3.58
133,Constitución,CL,1590015128.0,52.61,-35.33,-72.42,76.0,1.0,7.63
134,Elektrogorsk,RU,1590015310.0,44.6,55.88,38.79,87.0,75.0,3.47
135,Casma,CL,1590015313.0,46.4,-41.01,-73.12,100.0,99.0,1.14
136,Jamestown,US,1590015044.0,69.8,42.1,-79.24,19.0,1.0,11.41
137,Cabo San Lucas,MX,1590015137.0,84.0,22.89,-109.91,50.0,5.0,11.41
138,Kuala Terengganu,MY,1590015322.0,78.8,5.33,103.14,94.0,20.0,2.24
139,Iqaluit,CA,1590015325.0,32.0,63.75,-68.51,92.0,75.0,23.04
140,Haukipudas,FI,1590015328.0,42.8,65.18,25.35,88.0,94.0,6.93
141,Cavalcante,BR,1590015184.0,67.91,-13.8,-47.46,82.0,15.0,8.99
142,San Vicente,AR,1590015335.0,68.16,-26.62,-54.13,70.0,2.0,5.41
143,Ulaangom,MN,1590015338.0,62.28,49.98,92.07,36.0,12.0,2.24
144,Hay River,CA,1590015341.0,39.2,60.82,-115.8,68.0,75.0,14.99
145,Saint George,US,1590015334.0,73.4,37.1,-113.58,16.0,1.0,13.87
146,Gorontalo,ID,1590015231.0,78.93,0.54,123.06,86.0,34.0,2.59
147,Hunterville,NZ,1590015350.0,55.0,-39.93,175.57,61.0,0.0,4.0
148,Vung Tau,VN,1590015353.0,83.41,10.35,107.08,81.0,100.0,4.9
149,Kahului,US,1590015203.0,82.4,20.89,-156.47,58.0,40.0,17.22
150,Malakanagiri,IN,1590015359.0,77.83,18.35,81.9,19.0,100.0,1.95
151,Oktyabr'skiy,RU,1590015362.0,44.56,54.48,53.47,92.0,98.0,7.52
152,Carmo do Rio Claro,BR,1590015366.0,59.99,-20.97,-46.12,90.0,28.0,1.28
153,Hamada,JP,1590015369.0,62.01,34.88,132.08,26.0,95.0,1.99
154,Coyhaique,CL,1590015372.0,39.02,-45.58,-72.07,84.0,100.0,4.79
155,Matagami,CA,1590015375.0,73.4,49.75,-77.63,17.0,1.0,10.29
156,Keti Bandar,PK,1590015378.0,82.02,24.14,67.45,78.0,8.0,11.83
157,Faya,SA,1590015381.0,66.2,18.39,42.45,55.0,57.0,2.62
158,George Town,MY,1590015230.0,80.6,5.41,100.34,94.0,20.0,2.24
159,Chokurdakh,RU,1590015254.0,25.99,70.63,147.92,97.0,44.0,3.2
160,Barranca,PE,1590015390.0,65.03,-10.75,-77.77,81.0,1.0,8.08
161,Ballina,AU,1590015394.0,64.0,-28.87,153.57,93.0,40.0,2.91
162,Kendal,GB,1590015397.0,53.01,54.33,-2.75,74.0,5.0,1.99
163,Atar,MR,1590015400.0,88.93,20.52,-13.05,16.0,60.0,4.88
164,Faanui,PF,1590015403.0,79.63,-16.48,-151.75,78.0,5.0,16.67
165,Vilyuysk,RU,1590015406.0,54.28,63.76,121.62,54.0,0.0,6.55
166,Kamyzyak,RU,1590015409.0,60.8,46.11,48.07,67.0,80.0,8.95
167,Lorengau,PG,1590015412.0,84.4,-2.02,147.27,76.0,0.0,8.41
168,Olafsvik,IS,1590015415.0,45.59,64.89,-23.71,88.0,100.0,25.52
169,Djibo,BF,1590015419.0,93.16,14.1,-1.63,11.0,63.0,7.11
170,Iralaya,HN,1590015422.0,78.8,15.0,-83.23,94.0,90.0,4.7
171,San Patricio,MX,1590015315.0,85.26,19.22,-104.7,53.0,66.0,9.35
172,Paita,PE,1590015428.0,70.45,-5.09,-81.11,76.0,0.0,16.37
173,Grindavik,IS,1590015431.0,44.6,63.84,-22.43,100.0,75.0,27.51
174,Mehamn,NO,1590015434.0,34.43,71.04,27.85,87.0,80.0,7.78
175,Asău,RO,1590015437.0,46.99,46.43,26.4,81.0,100.0,7.47
176,Codrington,AU,1590015379.0,50.56,-38.27,141.97,72.0,55.0,13.71
177,Tiznit Province,MA,1590015443.0,71.82,29.58,-9.5,53.0,0.0,1.41
178,Manaus,BR,1590015447.0,82.4,-3.1,-60.02,83.0,20.0,6.93
179,Quixadá,BR,1590015274.0,73.89,-4.97,-39.02,93.0,39.0,2.77
180,Weiser,US,1590015453.0,55.0,44.25,-116.97,66.0,90.0,11.18
181,Ahipara,NZ,1590015456.0,60.13,-35.17,173.17,65.0,0.0,8.01
182,Karratha,AU,1590015459.0,62.82,-20.74,116.85,35.0,0.0,17.78
183,Palimbang,PH,1590015462.0,82.4,6.21,124.19,74.0,99.0,3.22
184,Kinsale,IE,1590015174.0,55.0,51.71,-8.53,93.0,75.0,8.05
185,Tougue,GN,1590015468.0,78.58,11.47,-11.6,33.0,37.0,3.24
186,Bilma,NE,1590015471.0,85.08,18.69,12.92,11.0,0.0,7.09
187,Kainantu,PG,1590015475.0,67.84,-6.29,145.87,83.0,81.0,3.02
188,Trat,TH,1590015478.0,79.16,12.5,102.5,88.0,99.0,2.3
189,Gamba,GA,1590015481.0,76.86,-2.65,10.0,89.0,71.0,2.1
190,Juegang,CN,1590015484.0,70.0,32.32,121.19,82.0,91.0,1.99
191,Kyaikkami,MM,1590015487.0,83.41,16.08,97.57,78.0,100.0,8.12
192,Airai,TL,1590015490.0,62.67,-8.93,125.41,100.0,89.0,4.23
193,Coquimbo,CL,1590015493.0,57.2,-29.95,-71.34,87.0,20.0,8.05
194,Hirado,JP,1590015496.0,62.01,33.36,129.55,77.0,75.0,3.36
195,Hong Kong,HK,1590015222.0,81.0,22.29,114.16,88.0,99.0,3.0
196,Belyy Yar,RU,1590015502.0,50.0,53.6,91.39,76.0,19.0,3.31
197,Tlacotepec (San Mateo),MX,1590015506.0,82.47,20.07,-97.87,44.0,5.0,4.34
198,Bethel,US,1590015509.0,60.8,41.37,-73.41,29.0,1.0,10.29
199,Mount Gambier,AU,1590015512.0,46.4,-37.83,140.77,87.0,75.0,8.05
200,State College,US,1590015475.0,62.6,40.79,-77.86,59.0,5.0,8.05
201,Kirakira,SB,1590015518.0,83.97,-10.45,161.92,73.0,35.0,10.89
202,Jiexiu,CN,1590015300.0,70.27,37.02,111.91,53.0,27.0,7.72
203,São Filipe,CV,1590015316.0,72.03,14.9,-24.5,82.0,9.0,9.86
204,Kununurra,AU,1590015527.0,69.8,-15.77,128.73,73.0,90.0,9.17
205,Fujin,CN,1590015531.0,57.0,47.26,132.03,45.0,100.0,8.86
206,Lagoa,PT,1590015534.0,64.62,39.05,-27.98,89.0,100.0,25.39
207,Sawākin,SD,1590015537.0,89.67,19.11,37.33,45.0,18.0,3.04
208,Sakaiminato,JP,1590015540.0,57.2,35.55,133.23,93.0,75.0,12.75
209,Birobidzhan,RU,1590015463.0,61.18,48.8,132.95,49.0,100.0,5.59
210,Nālūt,LY,1590015546.0,72.66,30.33,10.85,22.0,0.0,13.42
211,Farmington,US,1590015549.0,70.0,36.73,-108.22,5.0,1.0,6.93
212,Kokopo,PG,1590015552.0,84.83,-4.35,152.26,67.0,25.0,9.93
213,Esperance,AU,1590015556.0,51.8,-33.87,121.9,100.0,90.0,6.93
214,Lata,PT,1590015503.0,59.0,40.16,-8.33,87.0,73.0,2.84
215,Husavik,IS,1590015562.0,46.4,66.04,-17.34,81.0,90.0,26.4
216,Bengkulu,ID,1590015565.0,77.29,-3.8,102.27,67.0,56.0,6.71
217,Camaná,PE,1590015568.0,65.7,-16.62,-72.71,74.0,4.0,8.66
218,San Miguelito,PA,1590015571.0,86.0,9.03,-79.5,70.0,40.0,4.7
219,Xining,CN,1590015574.0,53.85,36.62,101.77,62.0,100.0,1.19
220,Saskylakh,RU,1590015577.0,33.85,71.92,114.08,93.0,99.0,1.61
221,Qaqortoq,GL,1590015580.0,55.4,60.72,-46.03,22.0,4.0,12.75
222,Gijang,KR,1590015584.0,59.0,35.24,129.21,62.0,75.0,9.17
223,Laas,IT,1590015587.0,51.8,46.62,10.7,66.0,20.0,4.7
224,Kimbe,PG,1590015590.0,82.44,-5.55,150.14,83.0,91.0,2.62
225,San Quintín,MX,1590015593.0,68.11,30.48,-115.95,59.0,0.0,20.6
226,Bosaso,SO,1590015596.0,86.34,11.28,49.18,66.0,0.0,2.46
227,Santa Isabel Rio Negro,BR,1590015599.0,76.01,-0.41,-65.02,98.0,57.0,2.71
228,Blagoyevo,RU,1590015602.0,42.1,63.37,47.92,78.0,100.0,8.61
229,Klaksvík,FO,1590015606.0,50.0,62.23,-6.59,100.0,100.0,14.99
230,Kutum,SD,1590015609.0,72.63,14.2,24.67,44.0,53.0,4.23
231,Qandala,SO,1590015612.0,88.74,11.47,49.87,58.0,0.0,4.74
232,Tiarei,PF,1590015615.0,86.0,-17.53,-149.33,62.0,20.0,4.7
233,Vangaindrano,MG,1590015619.0,66.31,-23.35,47.6,80.0,58.0,5.03
234,Tigil',RU,1590015622.0,48.31,57.8,158.67,53.0,0.0,5.46
235,Acaraú,BR,1590015625.0,79.02,-2.89,-40.12,86.0,95.0,11.01
236,Ratnagiri,IN,1590015628.0,81.66,16.98,73.3,77.0,55.0,4.68
237,Port Alfred,ZA,1590015631.0,62.01,-33.59,26.89,65.0,50.0,4.0
238,Rabaul,PG,1590015634.0,85.32,-4.2,152.17,67.0,33.0,10.33
239,Garoowe,SO,1590015637.0,80.6,8.41,48.48,66.0,78.0,24.72
240,Leningradskiy,RU,1590015640.0,29.26,69.38,178.42,95.0,99.0,3.85
241,Portland,US,1590015101.0,57.99,45.52,-122.68,82.0,90.0,9.17
242,Chunan,CN,1590015647.0,76.14,24.53,110.55,93.0,100.0,2.1
243,Kavaratti,IN,1590015317.0,84.67,10.57,72.64,73.0,96.0,5.77
244,Bambous Virieux,MU,1590015628.0,71.6,-20.34,57.76,78.0,75.0,14.99
245,Teguise,ES,1590015656.0,68.0,29.06,-13.56,77.0,0.0,18.34
246,Bonavista,CA,1590015659.0,37.0,48.65,-53.11,75.0,10.0,1.01
247,Honiara,SB,1590015662.0,84.2,-9.43,159.95,79.0,75.0,2.24
248,Masallātah,LY,1590015666.0,69.06,32.62,14.0,44.0,0.0,14.36
249,Malbork,PL,1590015542.0,39.99,54.04,19.03,100.0,0.0,3.98
250,Pevek,RU,1590015672.0,28.49,69.7,170.31,96.0,92.0,0.34
251,Iquitos,PE,1590015675.0,73.4,-3.75,-73.25,94.0,75.0,5.82
252,Moussoro,TD,1590015678.0,90.16,13.64,16.49,31.0,20.0,8.25
253,Bayan,CN,1590015681.0,62.01,46.08,127.4,48.0,100.0,3.83
254,Port Lincoln,AU,1590015567.0,53.96,-34.73,135.87,65.0,66.0,10.58
255,Yong’an,CN,1590015687.0,60.69,39.7,113.69,55.0,10.0,6.82
256,Kavieng,PG,1590015690.0,84.29,-2.57,150.8,77.0,17.0,14.03
257,Sørland,NO,1590015694.0,40.15,67.67,12.69,70.0,100.0,7.47
258,Meulaboh,ID,1590015697.0,77.88,4.14,96.13,74.0,100.0,5.84
259,Roald,NO,1590015665.0,48.0,62.58,6.13,75.0,100.0,6.93
260,Marsabit,KE,1590015703.0,64.6,2.33,37.99,99.0,58.0,21.16
261,Zonguldak,TR,1590015706.0,63.93,41.25,31.83,71.0,100.0,5.39
262,Taltal,CL,1590015503.0,57.65,-25.4,-70.48,77.0,29.0,4.27
263,Puruarán,MX,1590015712.0,84.2,19.1,-101.53,26.0,20.0,6.93
264,Raudeberg,NO,1590015715.0,48.0,61.99,5.14,78.0,100.0,1.19
265,Saint-Paul,RE,1590015718.0,71.6,-21.01,55.27,64.0,20.0,16.11
266,Murgab,TM,1590015722.0,68.0,37.5,61.97,42.0,47.0,11.41
267,Srednekolymsk,RU,1590015694.0,35.17,67.45,153.68,80.0,97.0,7.65
268,Castaños,MX,1590015487.0,106.0,26.78,-101.42,10.0,41.0,1.99
269,Seoul,KR,1590015731.0,59.0,37.57,126.98,54.0,0.0,8.05
270,Erenhot,CN,1590015734.0,58.19,43.65,111.98,63.0,75.0,16.24
271,Sărmaşu,RO,1590015737.0,55.4,46.75,24.17,87.0,100.0,4.7
272,Prichard,US,1590015740.0,72.0,30.74,-88.08,94.0,90.0,4.7
273,Dalvik,IS,1590015526.0,46.4,65.97,-18.53,81.0,90.0,26.4
274,Brest,BY,1590015536.0,40.42,52.1,23.7,83.0,0.0,7.74
275,Flinders,AU,1590015750.0,61.0,-34.58,150.86,84.0,23.0,1.01
276,Along,IN,1590015753.0,67.51,28.17,94.77,88.0,100.0,1.95
277,Marang,MY,1590015756.0,78.8,5.21,103.21,94.0,20.0,2.24
278,Pyapon,MM,1590015759.0,82.04,16.28,95.68,83.0,100.0,1.59
279,Lethem,GY,1590015762.0,83.17,3.38,-59.8,68.0,71.0,6.8
280,Camacha,PT,1590015766.0,62.6,33.08,-16.33,72.0,20.0,10.29
281,East London,ZA,1590015769.0,67.06,-33.02,27.91,47.0,5.0,10.09
282,Bakchar,RU,1590015772.0,55.96,57.02,82.07,72.0,100.0,4.25
283,Luanda,AO,1590015775.0,78.8,-8.84,13.23,88.0,40.0,8.05
284,Dingle,PH,1590015778.0,83.43,11.0,122.67,75.0,93.0,3.22
285,Costa Rica,BR,1590015717.0,71.42,-23.42,-54.65,79.0,0.0,8.61
286,Nouadhibou,MR,1590015628.0,65.97,20.93,-17.03,91.0,0.0,21.63
287,Atasū,KZ,1590015787.0,48.07,48.68,71.64,85.0,88.0,6.78
288,Cascais,PT,1590015790.0,62.01,38.7,-9.42,65.0,99.0,13.29
289,Ribeira Grande,PT,1590015793.0,64.72,38.52,-28.7,88.0,100.0,34.29
290,Jalu,LY,1590015693.0,72.86,29.03,21.55,48.0,5.0,20.13
291,Oistins,BB,1590015637.0,80.6,13.07,-59.53,83.0,75.0,8.05
292,Grand Gaube,MU,1590015504.0,70.0,-20.01,57.66,79.0,22.0,5.01
293,Beringovskiy,RU,1590015694.0,29.93,63.05,179.32,95.0,100.0,17.18
294,Vitim,RU,1590015809.0,54.25,59.45,112.56,57.0,0.0,5.59
295,Mozarlândia,BR,1590015812.0,74.77,-14.74,-50.57,78.0,16.0,4.38
296,Kaitangata,NZ,1590015815.0,50.0,-46.28,169.85,59.0,100.0,1.99
297,Key Largo,US,1590015818.0,84.0,25.09,-80.45,1.0,0.0,1.99
298,Viedma,AR,1590015605.0,48.06,-40.81,-63.0,75.0,82.0,2.1
299,Olavarría,AR,1590015825.0,51.01,-36.89,-60.32,92.0,100.0,4.0
300,Aripuanã,BR,1590015828.0,75.18,-9.17,-60.63,96.0,63.0,1.32
301,Alpena,US,1590015671.0,62.6,45.06,-83.43,42.0,1.0,10.29
302,Alofi,NU,1590015725.0,75.43,-19.06,-169.92,80.0,97.0,2.33
303,Ponta do Sol,PT,1590015837.0,62.6,32.67,-17.1,72.0,20.0,14.99
304,Hailun,CN,1590015840.0,61.2,47.45,126.93,39.0,70.0,5.99
305,Kieta,PG,1590015696.0,84.74,-6.22,155.63,69.0,57.0,5.82
306,Slave Lake,CA,1590015846.0,69.8,55.28,-114.77,35.0,40.0,10.29
307,Cam Ranh,VN,1590015849.0,82.4,11.92,109.16,88.0,20.0,4.7
308,Lugo,ES,1590015852.0,55.0,43.0,-7.5,100.0,92.0,3.0
309,Allāpalli,IN,1590015856.0,79.27,19.42,80.07,17.0,92.0,0.74
310,Tiksi,RU,1590015859.0,31.62,71.69,128.87,97.0,100.0,11.88
311,Fort Saint James,CA,1590015862.0,56.8,54.43,-124.25,64.0,100.0,6.22
312,Moen,NO,1590015865.0,37.4,69.13,18.61,74.0,85.0,3.36
313,Konëvo,RU,1590015868.0,39.15,62.12,39.32,87.0,77.0,13.06
314,Taksimo,RU,1590015871.0,50.85,56.34,114.88,57.0,92.0,1.74
315,Yārāda,IN,1590015874.0,82.4,17.65,83.27,69.0,75.0,2.24
316,Rio Grande,BR,1590015877.0,71.01,-32.03,-52.1,82.0,14.0,11.41
317,Nantucket,US,1590015681.0,52.0,41.28,-70.1,53.0,1.0,12.75
318,Šenčur,SI,1590015884.0,53.01,46.25,14.42,93.0,20.0,3.53
319,Tottori-shi,JP,1590015887.0,57.2,35.5,134.23,76.0,75.0,4.7
320,Reconquista,AR,1590015890.0,72.75,-29.15,-59.65,69.0,96.0,6.91
321,Lüderitz,NA,1590015893.0,69.8,-26.65,15.16,26.0,0.0,3.36
322,Farsund,NO,1590015896.0,50.0,58.09,6.8,84.0,97.0,1.28
